Filing Date,Fund Name,Fund CIK,Accession Number,Filing URL,Name of Issuer,Title of Class,CUSIP,FIGI,Value Raw ($000s),Value ($000s),Shares/Principal Amount Raw,Shares/Principal Amount,SH/PRN,Put/Call,Investment Discretion,Other Manager,Other Managers (raw),All Columns (raw),Voting Authority - Sole,Voting Authority - Shared,Voting Authority - None
2023-11-13,Baupost Group (Seth Klarman),1061768,0001567619-23-007709,https://www.sec.gov/Archives/edgar/data/1061768/000156761923007709/0001567619-23-007709-index.htm,CLARIVATE PLC,ORD SHS,G21810109,,,,22500000,22500000,SH,,SOLE,,,"(to the nearest dollar): 150,975; ",22500000,0,0
2023-11-13,Baupost Group (Seth Klarman),1061768,0001567619-23-007709,https://www.sec.gov/Archives/edgar/data/1061768/000156761923007709/0001567619-23-007709-index.htm,COINBASE GLOBAL INC,NOTE 0.500% 6/0,19260QAB3,,,,93750000,93750000,PRN,,SOLE,,,"(to the nearest dollar): 70,664; ",93750000,0,0
2023-11-13,Baupost Group (Seth Klarman),1061768,0001567619-23-007709,https://www.sec.gov/Archives/edgar/data/1061768/000156761923007709/0001567619-23-007709-index.htm,CRH PLC,ORD,G25508105,,,,3345543,3345543,SH,,SOLE,,,"(to the nearest dollar): 183,102; ",3345543,0,0
2023-11-13,Baupost Group (Seth Klarman),1061768,0001567619-23-007709,https://www.sec.gov/Archives/edgar/data/1061768/000156761923007709/0001567619-23-007709-index.htm,DOLLAR GEN CORP NEW,COM,256677105,,,,927000,927000,SH,,SOLE,,,"(to the nearest dollar): 98,077; ",927000,0,0
2023-11-13,Baupost Group (Seth Klarman),1061768,0001567619-23-007709,https://www.sec.gov/Archives/edgar/data/1061768/000156761923007709/0001567619-23-007709-index.htm,FIDELITY NATL INFORMATION SV,COM,31620M106,,,,6960219,6960219,SH,,SOLE,,,"(to the nearest dollar): 384,691; ",6960219,0,0
2023-11-13,Baupost Group (Seth Klarman),1061768,0001567619-23-007709,https://www.sec.gov/Archives/edgar/data/1061768/000156761923007709/0001567619-23-007709-index.htm,FINCH THERAPEUTICS GROUP INC,COM NEW,31773D200,,,,67296,67296,SH,,SOLE,,,(to the nearest dollar): 349; ,67296,0,0
2023-11-13,Baupost Group (Seth Klarman),1061768,0001567619-23-007709,https://www.sec.gov/Archives/edgar/data/1061768/000156761923007709/0001567619-23-007709-index.htm,GARRETT MOTION INC,COM,366505105,,,,5987289,5987289,SH,,SOLE,,,"(to the nearest dollar): 47,180; ",5987289,0,0
2023-11-13,Baupost Group (Seth Klarman),1061768,0001567619-23-007709,https://www.sec.gov/Archives/edgar/data/1061768/000156761923007709/0001567619-23-007709-index.htm,GRAY TELEVISION INC,COM,389375106,,,,3760000,3760000,SH,,SOLE,,,"(to the nearest dollar): 26,019; ",3760000,0,0
2023-11-13,Baupost Group (Seth Klarman),1061768,0001567619-23-007709,https://www.sec.gov/Archives/edgar/data/1061768/000156761923007709/0001567619-23-007709-index.htm,HERBALIFE LTD,COM SHS,G4412G101,,,,1693345,1693345,SH,,SOLE,,,"(to the nearest dollar): 23,690; ",1693345,0,0
2023-11-13,Baupost Group (Seth Klarman),1061768,0001567619-23-007709,https://www.sec.gov/Archives/edgar/data/1061768/000156761923007709/0001567619-23-007709-index.htm,JACOBS SOLUTIONS INC,COM,46982L108,,,,487786,487786,SH,,SOLE,,,"(to the nearest dollar): 66,583; ",487786,0,0
